         6805 function calls (6785 primitive calls) in 0.030 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\numpy\core\numeric.py:1878(isscalar)
       10    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_compressed.py:480(_mul_vector)
        5    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_sputils.py:22(upcast)
       62    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\_lib\_util.py:143(_prune_array)
       10    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_matvec}
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        2    0.000    0.000    0.001    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_coo.py:372(tocsr)
      139    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_base.py:119(get_shape)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      168    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\numpy\core\multiarray.py:502(can_cast)
       22    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_sputils.py:211(isscalarlike)
        9    0.000    0.000    0.000    0.000 C:\Users\kacpe\OneDrive\Pulpit\MES\projekt\grid.py:260(getElementIDs)
       32    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_data.py:20(__init__)
       11    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_csr.py:333(isspmatrix_csr)
       44    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_base.py:1301(isspmatrix)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\scipy\sparse\_coo.py:266(_check)
     10/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      136    0.000    0.000    0.000    0.000 {built-in method _operator.index}
